Breed; Age; Gender; Set; Length; Weight; Color; Pattern; Eye Color; Walks; Eating; Playing (min.); Sleeps (hours); Country; Latitude; Longitude;;
Angora;35;female;TRUE;32;6;white;solid;amber;FALSE;wet;33;14;France;48.86472;2.34901;;
Angora;35;male;TRUE;41;6;white;solid;amber;FALSE;wet;21;14;USA;40.71427;-74.00597;;
Angora;35;male;FALSE;39;5;white;solid;blue;FALSE;wet;28;14;USA;40.71427;-74.00597;;
Angora;36;male;TRUE;39;5;white;solid;green;FALSE;dry;16;15;USA;40.71427;-74.00597;;
Angora;36;male;FALSE;39;5;white;solid;blue;FALSE;wet;44;14;USA;37.77493;-122.41942;;
Angora;37;male;TRUE;39;5;red/cream;tabby;blue;FALSE;dry;25;16;USA;47.60621;-122.33207;;
Angora;37;male;TRUE;38;4;black;solid;green;TRUE;wet;25;14;USA;47.60621;-122.33207;;
Angora;37;male;TRUE;40;4;white;solid;blue;FALSE;dry;11;14;France;44.83779;-0.57918;;
Angora;38;female;FALSE;36;4;white;solid;amber;FALSE;wet;11;14;USA;40.71427;-74.00597;;
Angora;39;male;FALSE;40;6;black;bicolor;blue;FALSE;wet;12;16;USA;47.60621;-122.33207;;
Angora;41;male;TRUE;41;6;white;solid;amber;FALSE;dry;24;17;USA;45.52345;-122.67621;;
Angora;42;male;TRUE;39;6;black;solid;blue;FALSE;wet;15;16;USA;45.52345;-122.67621;;
Angora;42;male;TRUE;40;6;white;solid;green;TRUE;dry;13;16;USA;47.60621;-122.33207;;
Angora;42;female;FALSE;33;6;white;solid;amber;FALSE;dry;37;14;USA;41.88183;-87.62318;;
Angora;43;female;TRUE;35;3;white;solid;blue;FALSE;dry;23;16;France;48.86472;2.34901;;
Angora;43;female;TRUE;34;3;white;solid;blue;FALSE;wet;20;14;USA;41.88183;-87.62318;;
Angora;44;male;FALSE;39;3;white;solid;amber;FALSE;wet;23;14;USA;47.60621;-122.33207;;
Angora;44;male;FALSE;37;3;white;solid;amber;FALSE;wet;32;14;France;43.61166;3.87771;;
Angora;44;male;TRUE;37;5;white;solid;blue;FALSE;wet;33;14;USA;37.77493;-122.41942;;
Angora;45;male;TRUE;43;5;white;solid;blue;FALSE;wet;38;14;USA;39.29038;-76.61219;;
Angora;46;male;FALSE;37;4;white;solid;green;FALSE;wet;38;16;USA;38.89511;-77.03637;;
Angora;46;male;TRUE;40;4;black;bicolor;amber;TRUE;wet;11;15;USA;40.71427;-74.00597;;
Angora;46;male;FALSE;39;4;red/cream;tabby;blue;FALSE;dry;18;14;France;47.21837;-1.55362;;
Angora;47;female;TRUE;34;6;white;solid;amber;FALSE;dry;25;14;USA;40.71427;-74.00597;;
Angora;47;female;TRUE;37;6;black;solid;amber;FALSE;dry;25;15;USA;42.35843;-71.05977;;
Angora;47;female;TRUE;35;6;white;solid;blue;FALSE;wet;28;14;USA;38.89511;-77.03637;;
Angora;47;male;FALSE;39;6;white;solid;blue;FALSE;wet;23;15;USA;41.88183;-87.62318;;
Angora;48;male;TRUE;36;6;white;solid;green;FALSE;wet;28;17;USA;38.89511;-77.03637;;
Angora;49;male;FALSE;37;4;white;solid;green;FALSE;wet;38;14;USA;39.29038;-76.61219;;
Angora;49;female;FALSE;35;4;white;solid;blue;FALSE;wet;11;14;USA;40.71427;-74.00597;;
Angora;49;male;TRUE;37;4;white;solid;blue;FALSE;wet;12;14;USA;42.35843;-71.05977;;
Angora;50;female;TRUE;37;4;white;solid;amber;FALSE;dry;23;14;USA;42.35843;-71.05977;;
Angora;50;male;FALSE;41;4;white;solid;amber;FALSE;wet;24;16;USA;38.89511;-77.03637;;
Angora;50;female;TRUE;35;4;white;solid;amber;TRUE;dry;28;14;USA;45.52345;-122.67621;;
Angora;51;male;TRUE;37;4;white;solid;amber;FALSE;dry;36;14;France;45.76342;4.83428;;
Angora;52;female;TRUE;34;3;white;solid;blue;FALSE;wet;37;16;USA;42.35843;-71.05977;;
Angora;52;female;TRUE;35;3;black;solid;amber;FALSE;wet;30;14;USA;45.52345;-122.67621;;
Angora;52;female;TRUE;32;3;white;solid;blue;FALSE;wet;40;14;USA;47.60621;-122.33207;;
Angora;53;male;FALSE;39;5;white;solid;blue;FALSE;wet;34;16;USA;38.89511;-77.03637;;
Angora;54;male;TRUE;41;5;white;solid;amber;FALSE;dry;19;14;USA;40.71427;-74.00597;;
Angora;54;male;FALSE;39;5;white;solid;blue;FALSE;wet;39;16;USA;37.77493;-122.41942;;
Angora;55;female;FALSE;35;5;white;solid;blue;FALSE;wet;36;14;USA;40.71427;-74.00597;;
Angora;55;female;TRUE;37;4;white;solid;amber;TRUE;wet;39;17;USA;38.89511;-77.03637;;
Angora;55;male;FALSE;35;4;white;solid;amber;FALSE;dry;36;17;USA;38.89511;-77.03637;;
Angora;55;female;TRUE;37;4;white;solid;amber;FALSE;dry;24;14;USA;38.89511;-77.03637;;
Angora;55;male;TRUE;38;4;red/cream;solid;blue;FALSE;wet;17;14;USA;38.89511;-77.03637;;
Angora;57;female;FALSE;38;4;white;solid;amber;FALSE;wet;14;16;USA;40.71427;-74.00597;;
Angora;57;female;TRUE;38;4;white;solid;amber;FALSE;dry;23;14;USA;38.89511;-77.03637;;
Angora;57;male;FALSE;37;4;white;solid;blue;FALSE;dry;32;16;USA;40.71427;-74.00597;;
Angora;58;male;TRUE;40;5;white;solid;amber;FALSE;wet;18;14;USA;37.77493;-122.41942;;
Angora;58;female;TRUE;37;3;white;solid;amber;FALSE;wet;20;14;France;43.29648;5.36978;;
Angora;58;male;FALSE;36;3;white;solid;blue;FALSE;wet;32;17;USA;38.89511;-77.03637;;
Angora;59;male;TRUE;36;3;white;solid;green;FALSE;dry;29;16;USA;40.71427;-74.00597;;
Angora;59;male;FALSE;41;3;white;solid;amber;FALSE;wet;14;14;USA;38.89511;-77.03637;;
Angora;59;male;TRUE;40;4;red/cream;tabby;amber;TRUE;wet;31;14;USA;40.71427;-74.00597;;
Angora;59;female;TRUE;38;2;white;solid;blue;FALSE;wet;28;17;USA;41.88183;-87.62318;;
Angora;60;female;TRUE;39;2;white;solid;blue;FALSE;dry;32;14;USA;40.71427;-74.00597;;
Angora;60;male;TRUE;37;2;white;solid;amber;FALSE;dry;29;14;USA;45.52345;-122.67621;;
Angora;61;male;TRUE;40;2;white;solid;amber;FALSE;wet;31;14;USA;42.35843;-71.05977;;
Angora;61;female;FALSE;39;2;white;solid;blue;FALSE;wet;27;16;USA;42.35843;-71.05977;;
Angora;61;female;TRUE;37;2;white;solid;blue;FALSE;dry;29;14;USA;40.71427;-74.00597;;
Angora;62;female;FALSE;39;5;white;solid;blue;FALSE;dry;35;17;Germany;50.11092;8.68213;;
Angora;62;female;TRUE;34;5;white;solid;green;FALSE;dry;9;14;Germany;52.52001;13.40495;;
Angora;62;female;TRUE;38;5;white;solid;green;TRUE;wet;9;14;Germany;48.13715;11.57612;;
Angora;62;female;FALSE;38;5;white;solid;amber;FALSE;wet;27;14;Germany;48.13715;11.57612;;
Angora;62;male;TRUE;36;5;white;solid;amber;FALSE;wet;19;14;Germany;48.13715;11.57612;;
Angora;62;male;TRUE;40;5;white;solid;blue;FALSE;wet;39;14;Germany;50.11092;8.68213;;
Angora;62;male;FALSE;36;4;white;solid;blue;FALSE;wet;37;14;Germany;52.52001;13.40495;;
Angora;62;female;FALSE;39;4;white;solid;blue;FALSE;wet;17;16;Germany;50.11092;8.68213;;
Angora;63;female;TRUE;31;4;white;solid;blue;FALSE;wet;29;16;Germany;48.13715;11.57612;;
Angora;63;female;FALSE;37;4;white;solid;blue;FALSE;dry;23;14;Germany;52.52001;13.40495;;
Angora;64;female;TRUE;35;4;white;solid;blue;FALSE;dry;26;14;Germany;50.11092;8.68213;;
Angora;64;male;FALSE;36;4;white;solid;blue;FALSE;wet;9;14;Germany;52.52001;13.40495;;
Angora;64;female;TRUE;37;4;white;solid;blue;TRUE;dry;16;14;Germany;48.13715;11.57612;;
Angora;65;male;TRUE;38;4;black;solid;amber;FALSE;wet;23;17;Germany;50.11092;8.68213;;
Angora;65;female;FALSE;39;6;white;solid;blue;FALSE;wet;27;17;Germany;51.22774;6.77346;;
Angora;66;male;TRUE;40;6;white;solid;green;FALSE;dry;17;14;Germany;52.52001;13.40495;;
Angora;67;male;FALSE;40;6;black;solid;blue;FALSE;wet;27;14;Germany;52.52001;13.40495;;
Angora;68;male;TRUE;39;6;white;solid;blue;FALSE;wet;12;14;Germany;52.52001;13.40495;;
Angora;68;male;FALSE;41;6;white;solid;blue;FALSE;dry;24;14;Germany;50.11092;8.68213;;
Angora;68;male;TRUE;36;6;white;solid;green;FALSE;dry;37;14;Germany;52.52001;13.40495;;
Angora;68;male;TRUE;37;3;red/cream;tabby;blue;FALSE;wet;37;15;Germany;51.22774;6.77346;;
Angora;69;male;FALSE;39;3;white;solid;amber;FALSE;dry;39;15;Germany;50.11092;8.68213;;
Angora;69;female;TRUE;38;3;black;bicolor;amber;FALSE;dry;18;14;USA;42.35843;-71.05977;;
Angora;69;female;TRUE;38;3;white;solid;amber;TRUE;wet;25;15;USA;42.35843;-71.05977;;
Angora;69;female;TRUE;31;3;white;solid;blue;FALSE;wet;9;15;USA;40.71427;-74.00597;;
Angora;71;female;TRUE;39;3;white;solid;green;FALSE;wet;12;16;USA;42.35843;-71.05977;;
Angora;71;male;FALSE;38;3;white;solid;green;FALSE;dry;26;13;USA;40.71427;-74.00597;;
Angora;71;male;TRUE;41;3;white;solid;amber;FALSE;wet;29;13;USA;42.35843;-71.05977;;
Angora;71;female;TRUE;36;2;white;solid;amber;FALSE;dry;29;16;USA;40.71427;-74.00597;;
Angora;72;male;FALSE;36;2;white;solid;blue;FALSE;wet;33;17;USA;40.71427;-74.00597;;
Angora;72;female;FALSE;36;2;white;solid;green;FALSE;dry;26;13;France;45.76342;4.83428;;
Angora;73;male;TRUE;38;2;white;solid;blue;FALSE;wet;16;14;USA;37.77493;-122.41942;;
Angora;73;female;TRUE;38;2;white;solid;blue;FALSE;wet;38;16;USA;38.89511;-77.03637;;
Angora;73;male;FALSE;41;2;white;solid;blue;FALSE;dry;39;16;USA;40.71427;-74.00597;;
Angora;75;male;FALSE;39;2;white;solid;blue;FALSE;wet;24;13;USA;37.77493;-122.41942;;
Angora;75;male;FALSE;38;2;white;solid;amber;FALSE;wet;23;16;France;43.61166;3.87771;;
Angora;75;male;FALSE;41;2;white;solid;amber;FALSE;wet;24;13;USA;39.29038;-76.61219;;
Angora;76;female;FALSE;37;4;white;solid;green;FALSE;dry;30;13;USA;40.71427;-74.00597;;
Angora;77;male;TRUE;36;4;white;solid;amber;FALSE;wet;12;16;USA;41.88183;-87.62318;;
Angora;78;female;TRUE;37;4;red/cream;solid;blue;FALSE;wet;30;17;USA;47.60621;-122.33207;;
Angora;78;male;TRUE;36;4;white;solid;blue;TRUE;dry;18;16;USA;41.88183;-87.62318;;
Angora;78;male;FALSE;39;6;black;bicolor;amber;FALSE;wet;15;17;USA;47.60621;-122.33207;;
Angora;78;female;FALSE;34;6;white;solid;blue;FALSE;wet;21;14;USA;42.35843;-71.05977;;
Angora;78;female;TRUE;38;6;white;solid;blue;FALSE;wet;9;13;USA;40.71427;-74.00597;;
Angora;79;male;FALSE;40;6;red/cream;tabby;blue;FALSE;wet;12;14;USA;39.29038;-76.61219;;
Angora;79;male;TRUE;41;6;red/cream;tabby;green;FALSE;dry;23;16;USA;40.71427;-74.00597;;
Angora;79;male;FALSE;41;5;white;solid;amber;FALSE;dry;16;17;Canada;43.65107;-79.34702;;
Angora;80;male;TRUE;40;5;white;solid;blue;FALSE;dry;13;14;Canada;51.05;-114.06667;;
Angora;80;female;FALSE;34;5;white;solid;amber;FALSE;dry;34;17;Canada;43.65107;-79.34702;;
Angora;81;female;FALSE;37;5;white;solid;blue;FALSE;dry;16;14;Canada;45.42153;-75.69719;;
Angora;81;male;TRUE;39;5;white;solid;amber;FALSE;dry;24;14;Canada;49.24629;-123.11623;;
Angora;81;male;TRUE;40;5;white;solid;blue;TRUE;wet;17;14;Canada;43.65107;-79.34702;;
Angora;82;female;FALSE;37;5;white;solid;amber;FALSE;dry;36;14;Canada;45.50889;-73.56167;;
Angora;83;male;TRUE;41;3;white;solid;blue;FALSE;wet;26;14;Canada;43.65107;-79.34702;;
Angora;83;male;TRUE;38;3;white;solid;amber;FALSE;wet;32;16;Canada;45.50889;-73.56167;;
Angora;83;female;TRUE;39;3;white;solid;amber;FALSE;wet;22;14;Canada;49.24629;-123.11623;;
Angora;84;male;TRUE;40;3;white;solid;blue;TRUE;dry;20;14;Canada;49.24629;-123.11623;;
Angora;84;male;TRUE;39;3;white;solid;amber;FALSE;dry;16;14;Canada;51.05;-114.06667;;
Angora;85;female;FALSE;35;4;white;solid;blue;FALSE;wet;27;14;Canada;45.42153;-75.69719;;
Angora;86;male;TRUE;40;4;white;solid;amber;FALSE;wet;9;20;Canada;49.24629;-123.11623;;
Angora;87;male;FALSE;39;4;white;solid;green;FALSE;wet;37;20;Canada;49.24629;-123.11623;;
Angora;87;male;TRUE;36;4;white;solid;amber;FALSE;dry;29;19;Canada;45.50889;-73.56167;;
Angora;87;male;FALSE;38;4;white;solid;amber;FALSE;wet;27;16;Canada;49.24629;-123.11623;;
Angora;87;female;FALSE;33;4;black;bicolor;amber;FALSE;dry;16;14;Canada;51.05;-114.06667;;
Angora;87;male;FALSE;40;5;white;solid;blue;FALSE;dry;17;19;Canada;51.05;-114.06667;;
Angora;87;male;TRUE;40;5;red/cream;tabby;blue;FALSE;wet;12;20;USA;47.60621;-122.33207;;
Angora;87;female;TRUE;33;5;white;solid;blue;FALSE;dry;23;18;USA;38.89511;-77.03637;;
Angora;88;male;FALSE;41;5;black;bicolor;blue;FALSE;dry;27;14;USA;37.77493;-122.41942;;
Angora;89;female;TRUE;35;5;white;solid;blue;TRUE;dry;25;19;USA;42.35843;-71.05977;;
Angora;89;female;TRUE;34;5;white;solid;amber;FALSE;wet;32;14;USA;40.71427;-74.00597;;
Angora;91;male;TRUE;39;6;white;solid;amber;FALSE;wet;5;14;USA;40.71427;-74.00597;;
Angora;91;male;TRUE;40;6;red/cream;tabby;blue;FALSE;dry;14;14;USA;38.89511;-77.03637;;
Angora;92;male;FALSE;36;6;white;solid;blue;FALSE;dry;31;18;USA;38.89511;-77.03637;;
Angora;92;male;TRUE;40;6;black;solid;blue;FALSE;dry;39;18;USA;40.71427;-74.00597;;
Angora;93;female;TRUE;33;6;white;solid;blue;TRUE;wet;26;18;USA;38.89511;-77.03637;;
Angora;93;male;TRUE;42;4;white;solid;green;FALSE;wet;16;14;USA;45.52345;-122.67621;;
Angora;93;female;FALSE;37;4;white;solid;green;FALSE;dry;28;18;USA;47.60621;-122.33207;;
Angora;93;male;TRUE;37;4;white;solid;blue;FALSE;wet;15;18;USA;38.89511;-77.03637;;
Angora;93;male;FALSE;41;4;black;solid;blue;FALSE;wet;30;20;USA;40.71427;-74.00597;;
Angora;94;male;FALSE;37;4;white;solid;amber;FALSE;wet;25;14;USA;42.35843;-71.05977;;
Angora;94;male;TRUE;38;4;white;solid;amber;FALSE;wet;37;14;USA;40.71427;-74.00597;;
Angora;94;male;TRUE;38;4;white;solid;amber;FALSE;dry;27;16;USA;39.29038;-76.61219;;
Angora;94;male;TRUE;40;4;white;solid;amber;FALSE;wet;25;18;USA;38.89511;-77.03637;;
Angora;94;female;TRUE;33;4;white;bicolor;blue;TRUE;wet;10;16;USA;42.35843;-71.05977;;
Angora;94;male;FALSE;40;5;white;solid;blue;FALSE;wet;25;18;USA;42.35843;-71.05977;;
Angora;94;male;TRUE;39;5;red/cream;solid;blue;FALSE;wet;24;16;USA;40.71427;-74.00597;;
Angora;95;male;TRUE;39;3;white;solid;amber;FALSE;wet;32;19;USA;37.77493;-122.41942;;
Angora;96;female;FALSE;37;3;black;bicolor;blue;FALSE;wet;29;17;USA;42.35843;-71.05977;;
Angora;96;male;FALSE;36;3;white;solid;green;FALSE;dry;28;16;USA;45.52345;-122.67621;;
Angora;96;female;TRUE;34;3;white;solid;amber;FALSE;wet;17;19;USA;40.71427;-74.00597;;
Angora;86;male;FALSE;36;3;red/cream;solid;blue;FALSE;dry;29;20;USA;38.89511;-77.03637;;
Angora;97;female;FALSE;33;5;white;solid;amber;FALSE;wet;18;19;USA;40.71427;-74.00597;;
Angora;97;male;TRUE;41;5;black;bicolor;amber;TRUE;wet;9;18;USA;42.35843;-71.05977;;
Angora;97;male;TRUE;37;5;red/cream;tabby;blue;FALSE;wet;27;16;USA;41.88183;-87.62318;;
Angora;48;female;TRUE;36;5;white;solid;blue;TRUE;wet;14;14;USA;37.77493;-122.41942;;
Angora;99;female;TRUE;34;4;white;solid;amber;FALSE;wet;25;19;USA;39.29038;-76.61219;;
Angora;50;female;FALSE;35;4;white;solid;blue;FALSE;dry;20;14;USA;45.52345;-122.67621;;
Angora;61;female;FALSE;36;4;white;solid;blue;FALSE;dry;16;16;USA;45.52345;-122.67621;;
Angora;55;female;TRUE;35;4;white;solid;amber;FALSE;dry;25;17;USA;38.89511;-77.03637;;
Angora;102;male;FALSE;40;4;white;solid;blue;FALSE;dry;18;14;USA;45.52345;-122.67621;;
Angora;85;male;TRUE;36;3;black;bicolor;blue;TRUE;wet;9;16;USA;40.71427;-74.00597;;
Angora;84;female;FALSE;33;3;white;solid;blue;FALSE;dry;34;14;USA;47.60621;-122.33207;;
Angora;103;male;FALSE;39;3;white;solid;amber;FALSE;wet;18;16;USA;42.35843;-71.05977;;
Angora;86;female;FALSE;38;3;white;solid;blue;FALSE;wet;21;14;USA;47.60621;-122.33207;;
Angora;103;male;TRUE;52;5;red/cream;solid;blue;FALSE;wet;30;16;USA;38.89511;-77.03637;;
Angora;104;female;TRUE;35;5;white;solid;amber;FALSE;dry;15;16;USA;40.71427;-74.00597;;
Angora;57;female;TRUE;34;5;white;solid;blue;TRUE;wet;22;14;USA;47.60621;-122.33207;;
Angora;82;female;TRUE;36;5;white;solid;blue;FALSE;wet;32;17;USA;42.35843;-71.05977;;
Angora;90;female;FALSE;36;5;white;solid;green;FALSE;wet;16;14;USA;38.89511;-77.03637;;
Angora;91;male;FALSE;36;5;white;solid;blue;FALSE;wet;39;18;USA;41.88183;-87.62318;;
Angora;107;female;TRUE;34;5;black;bicolor;amber;FALSE;dry;13;19;USA;40.71427;-74.00597;;
Angora;81;female;FALSE;33;6;white;solid;green;FALSE;wet;20;16;USA;45.52345;-122.67621;;
Angora;108;female;TRUE;38;6;white;solid;amber;TRUE;dry;6;17;USA;38.89511;-77.03637;;
Angora;88;female;FALSE;39;6;white;solid;amber;FALSE;wet;16;13;USA;38.89511;-77.03637;;
Angora;62;female;FALSE;36;6;white;solid;amber;FALSE;wet;27;13;USA;45.52345;-122.67621;;
Angora;109;male;TRUE;58;6;black;bicolor;blue;FALSE;wet;30;20;USA;42.35843;-71.05977;;
Angora;110;female;FALSE;35;6;white;solid;green;FALSE;wet;20;16;USA;47.60621;-122.33207;;
Angora;78;male;TRUE;39;6;white;solid;amber;FALSE;wet;25;17;USA;38.89511;-77.03637;;
Angora;111;male;TRUE;38;5;white;solid;amber;FALSE;wet;27;16;USA;38.89511;-77.03637;;
Angora;111;male;FALSE;38;5;white;solid;amber;FALSE;wet;22;19;USA;38.89511;-77.03637;;
Angora;112;female;FALSE;36;5;white;solid;green;FALSE;wet;25;14;USA;38.89511;-77.03637;;
Angora;100;male;TRUE;41;5;white;solid;blue;FALSE;dry;18;14;USA;40.71427;-74.00597;;
Angora;51;female;FALSE;33;5;white;solid;amber;FALSE;dry;38;17;USA;40.71427;-74.00597;;
Angora;77;female;TRUE;36;5;white;solid;blue;TRUE;wet;19;17;USA;38.89511;-77.03637;;
Angora;114;female;TRUE;38;4;white;solid;blue;FALSE;wet;18;19;USA;42.35843;-71.05977;;
Angora;115;male;TRUE;36;4;white;solid;green;FALSE;dry;28;16;USA;40.71427;-74.00597;;
Angora;36;female;TRUE;39;4;white;solid;amber;FALSE;wet;28;13;USA;40.71427;-74.00597;;
Angora;115;male;TRUE;61;4;black;bicolor;blue;TRUE;wet;13;20;USA;40.71427;-74.00597;;
Angora;116;female;TRUE;36;4;white;solid;blue;FALSE;wet;17;20;USA;40.71427;-74.00597;;
Angora;71;female;TRUE;35;6;white;solid;blue;FALSE;wet;34;13;USA;40.71427;-74.00597;;
Angora;116;male;FALSE;39;6;white;solid;amber;FALSE;dry;14;18;USA;39.29038;-76.61219;;
